2014-11-28 15:10:47,/newmpms/sp/mine.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:10:50,/newmpms/sp/chart.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:10:53,/newmpms/sp/mine.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:32:21,/newmpms/sp/mine.php,http://www.is.oit.ac.jp/~naka/server/mpms/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:32:24,/newmpms/sp/chart.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:47:19,/newmpms/sp/mine.php,http://www.is.oit.ac.jp/~naka/server/mpms/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:48:50,/newmpms/sp/chart.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:50:01,/newmpms/sp/mine.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:55:08,/newmpms/sp/mine.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:55:12,/newmpms/sp/chart.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:58:10,/newmpms/sp/mine.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:58:12,/newmpms/sp/chart.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:58:36,/newmpms/sp/mine.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:58:38,/newmpms/sp/mine.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 15:58:42,/newmpms/sp/chart.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/top.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 17:59:23,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/mine.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 17:59:27,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/date.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 17:59:38,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/date.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 17:59:41,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/index.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 17:59:45,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/chart.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 18:02:30,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/date.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 18:03:02,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/date.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 18:03:14,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/date.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 18:06:03,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/date.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; Android 4.3; ja-jp; SCL22 Build/JSS15J) AppleWebKit/537.36 (KHTML， like Gecko) Version/1.5 Chrome/28.0.1500.94 Mobile Safari/537.36
2014-11-28 23:53:27,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/index.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SonySOL21 Build/9.0.F.2.71) AppleWebKit/534.30 (KHTML， like Gecko) Version/4.0 Mobile Safari/534.30
2014-11-30 13:16:26,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/index.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SonySOL21 Build/9.0.F.2.71) AppleWebKit/534.30 (KHTML， like Gecko) Version/4.0 Mobile Safari/534.30
2014-12-02 11:07:26,/newmpms/sp/top.php,http://l505-15.is.oit.ac.jp/mpms/sp/index.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML， like Gecko) Mobile/11D257
2014-12-02 11:07:43,/newmpms/sp/top.php,http://l505-15.is.oit.ac.jp/mpms/sp/mine.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (iPad; CPU OS 7_1_2 like Mac OS X) AppleWebKit/537.51.2 (KHTML， like Gecko) Mobile/11D257
2014-12-02 11:33:50,/newmpms/sp/top.php,http://l505-15.is.oit.ac.jp/mpms/sp/index.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) CriOS/39.0.2171.50 Mobile/12B435 Safari/600.1.4
2014-12-02 11:33:55,/newmpms/sp/top.php,http://l505-15.is.oit.ac.jp/mpms/sp/mine.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) CriOS/39.0.2171.50 Mobile/12B435 Safari/600.1.4
2014-12-02 11:34:19,/newmpms/sp/top.php,http://l505-15.is.oit.ac.jp/mpms/sp/chart.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML， like Gecko) CriOS/39.0.2171.50 Mobile/12B435 Safari/600.1.4
2014-12-03 14:55:13,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/mine.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SonySOL21 Build/9.0.F.2.71) AppleWebKit/534.30 (KHTML， like Gecko) Version/4.0 Mobile Safari/534.30
2014-12-03 14:55:15,/newmpms/sp/top.php,http://www.is.oit.ac.jp/~naka/server/mpms/sp/mine.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; U; Android 4.0.4; ja-jp; SonySOL21 Build/9.0.F.2.71) AppleWebKit/534.30 (KHTML， like Gecko) Version/4.0 Mobile Safari/534.30
2014-12-15 13:20:03,/newmpms/sp/top.php,http://l505-15.is.oit.ac.jp/mpms/sp/index.php,150.89.227.15,L505-15.is.oit.ac.jp,Mozilla/5.0 (Linux; U; Android 4.2.2; ja-jp; SBM302SH Build/S0018) AppleWebKit/534.30 (KHTML， like Gecko) Version/4.0 Mobile Safari/534.30
