"学籍番号","提出日時","（必須）本日の授業に関する質問を書け。質問が全く無い場合は本日の講義の要点を１００字程度で書け。項目の箇条書きではなく、文章形式で書くこと。また、途中に改行を含めないこと。","中西からの回答","（選択）授業の進め方などについて、感想や意見があればどうぞ。無ければ記入不要。","中西からの回答"
"Q07033","10/29/14 21:36","コンパイラコンパイラはBNFを入力してコンパイラを生成するソフトウェア。BNFをコンパイラコンパイラに入力するとコンパイラが生成しその言語仕様のソースプログラムを実行するとオブジェクトファイルが生成される","「ソースプログラムを実行すると」という表現がおかしい。ソースは実行できないよ。","",""
"Q09082","","未回答","","",""
"Q09094","","未回答","","",""
"Q10024","10/29/14 13:01","printf文での変換指定形式の、構文図で”フラグ”だけ矢印の方向が逆なのはどういう意味ですか?","よく見つけましたね。フラグ指定子は複数個を指定できるからです。詳しくはC言語のきちんとした本をどうぞ。","",""
"Q10042","10/29/14 13:12","BNFによる構文定義を入力しそこから構文解析プログラムを作成するソフトウェアをコンパイラコンパイラもしくはパーザ・ジェネレータといいyaccやbison等がある。","OK","",""
"Q11005","10/30/14 0:02","構文図を書くときにどの括弧を図に書くのかがわかりません。if文の時は()を構文図に書いていましたが先週提出したプリントの問題では()は構文図に書かないのが正解だったのでどう違うのか教えてください。","if文の丸括弧は終端記号だから書きます。いっぽう、拡張BNFの丸括弧は、単にBNF表現を短く書くための便法（約束）なので、終端記号でも非終端記号でもありません。だから構文図には現れない。","",""
"Q11020","","未回答","","",""
"Q11032","","未回答","","",""
"Q11035","","未回答","","",""
"Q11049","10/29/14 10:46","構文木を簡素化したものを、抽象構文木といい、内部節点に終端記号を書く。抽象構文木の数式の記法は中置記法、前置記法、後置記法がある","OK","",""
"Q11069","10/28/14 21:52","コンパイラを作成するための共通基盤として「LLVM(Low Level Virtual Machine:低水準仮想機械)」というものが存在する。このLLVMは言語やアーキテクチャから独立した中間表現を作成し、様々なアーキテクチャのコード生成が行える。例えばC言語で書かれた物をIntel x86 CPUで動かそうとするとき、このLLVMがあればx86 CPUに合わせたコード生成が可能である。その際アセンブリ言語で出てきた「Store」や「Call」等が使われる。","OK","",""
"Q11091","10/28/14 17:18","抽象構文木は構文木の簡単化されたもので内部節点が終端記号に書き換える。普通の構文木を見たら、規則による展開のステップを詳しく知ることができる。しかし、長い構文では木も大きくなるので、描くのが困難である。これを避けるため、抽象構文を用いて表すと、式の意味もより分かりやすいだろう。","OK","",""
"Q11103","10/29/14 9:21","C言語はAdaと違いifに一番近いelseで閉じるため、あいまいという事ですが、何か不都合はありますか?","誤解があるようです。「ifに一番近いelseで閉じる」という約束（言語仕様）にして、曖昧さを回避しているのです。","",""
"Q12004","","未回答","","",""
"Q12005","10/29/14 10:31","数式の記法で前置記法や後置記法、中置記法などがありますが、これを使い分けるのはなぜですか。それぞれに特徴があるのでしょうか。","プログラム中には普通の数式（中置）で書かれるので、コンパイラが後置記法か前置記法に置き換えて、実行コードを作るのです。","",""
"Q12012","10/28/14 17:02","前置記法と中置記法と後置記法はどのような条件で使い分けされているのですか。","プログラム中には普通の数式（中置）で書かれるので、コンパイラが後置記法か前置記法に置き換えて、実行コードを作るのです。","",""
"Q12013","10/29/14 10:07","抽象構文木について、構文木とは構文解析の結果を木構造で表したものである。木の内部節点を非終端記号とし、葉を終端記号とする。そして、抽象構文木は構文木を簡素化したもので、内部節点に終端記号を書く。簡素化は、例えば括弧によるグループ化の省略があげられる。","最後の文の意味がわかりません。グループ化の括弧は拡張BNFの話なので、構文木には関係ないのですが。。。","",""
"Q12014","","未回答","","",""
"Q12016","10/28/14 15:59","BNFとEBNFの補足と、利用例について学んだ。プログラミング言語の構文定義や、通信プロトコルの定義に利用されている。通信プロトコルの場合はABNFと呼ばれる通信プロトコルの記述に便利なように拡張されたものを使用する。","OK","",""
"Q12018","10/29/14 8:45","中カッコ小カッコが終端記号に含まれない場合をもう一度詳しく教えてください","if文の丸括弧は終端記号だから書きます。いっぽう、拡張BNFの丸括弧は、単にBNF表現を短く書くための便法（約束）なので、終端記号でも非終端記号でもありません。だから構文図には現れない。","",""
"Q12020","10/29/14 13:39","後置記法の式を評価する際にスタックを用いる場合があり、被演算子の場合にはpushし演算子の場合はスタックから2つの被演算子をpopしその演算子を用いて演算子結果をpopすることで計算することができる","OK","",""
"Q12024","10/28/14 15:35","コンパイラでは字句、構文、意味解析、中間コード生成、最適化と順に処理が行わている。字句解析では文の綴り。構文解析ではプログラムが構文に従っているか。意味解析では内容に矛盾が生じていないかを調べており、混同しないように注意が必要。","OK","",""
"Q12025","","未回答","","",""
"Q12029","","未回答","","",""
"Q12033","","未回答","","",""
"Q12034","","未回答","","",""
"Q12036","","未回答","","",""
"Q12037","","未回答","","",""
"Q12038","","未回答","","",""
"Q12039","","未回答","","",""
"Q12040","10/29/14 21:12","C言語はelseの構文定義が曖昧とありますがなぜAdaのようにifをend if で閉じる構文規則にしないのですか?","1970年からの歴史があるのでいまさら言語仕様を変えられない、という事情でしょう。","",""
"Q12041","10/28/14 17:21","構文木を視覚化したものを構文図といい、終端のみを記述することで簡素化したものを抽象構文図という。また、木構造を記述する際、行きがけ順で読み込む場合を前置記法、帰りがけ順で読み込む場合を後置記法という。","OK","",""
"Q12042","10/28/14 17:34","構造木で行きがけ順で読み出すと前置記法を実現でき。通りがけ順で読み出すと中置記法で帰りがけ順で読み出すと後置記法を実現できる。また式の値を計算することを評価するという。","OK","",""
