"学籍番号","提出日時","文法定義を構成する「終端記号」とは何かを説明せよ。","","（必須）本日の授業に関する質問を書け。質問が全く無い場合は本日の講義の要点を書け。項目の箇条書きではなく、文章形式で書くこと。また、途中に改行を含めないこと。","中西からの回答","（選択）授業の進め方などについて、感想や意見があればどうぞ。無ければ記入不要。","中西からの回答"
"N07081","10/7/14 21:13","終端記号は、形式文法における生成規則の記述に使われる記号であり、それ以上文法的に分解されることがない。C言語を例にすれば、識別子,数値,文字列,演算子,区切り記号などがある。","","KCLは他のに比べて、どういう利点があるんですか?また、逆に欠点などはありますか?","なぜ直接機械語にコンパイルしないのか、あるいはインタープリタで実行しないのか、という質問かと思います。ググってもらうとわかりますが、Cのソースに変換することが簡単であったこと、Cのソースであれば人がそれを最適化できるなどが利点です。","",""
"N08033","10/7/14 14:53","文法の終わりの記号","×","今回の要点は形式文法の文脈自由文法がプログラミングで多く使われることである。","100字ぐらい書いてください。","",""
"N09010","","未回答","","未回答","","",""
"N09051","10/9/14 23:33","形式文法での生成規則の記述に使われる記号の事で、その文法で生成される文字列の一部を構成する要素。記号ではΣ。","","コンパイラの処理順序は字句解析→構文解析→意味解析の順番で行われる。字句解析とは文字を1つ1つ調べ、意味のある最小単位の要素にまとめる事。構文解析は字句解析で得た要素の列をその言語の文法規則にあっているか調べる事であり、ここで間違っていればエラーが出力される。","OK","",""
"N09075","","未回答","","未回答","","",""
"N10010","10/7/14 18:09","形式文法の生成規則の入力に現れ、その生成規則によってそれ以上は変換されない記号である。","","コンパイラの処理順序は字句解析から始まり、構文解析、意味解析、最適化、コード生成と続く。最適化する際メモリアクセスを極力減らすのは、読み込む速さがメモリよりレジスタの方が早いからである。結果生成物の実行スピードが上がる。","OK","",""
"N10093","","未回答","","未回答","","",""
"N10101","10/7/14 15:47","終端記号とは、形式文法で生成されるソースコードに出てくるintやmainなどの文字列の一部を構成する要素。","","前回までの講義の復習を最初にして、その後に今回の講義をした。主に終端記号や非終端記号などについての講義だった。今回の講義のテーマにはオートマトンと形式言語の知識も必要だったので、授業で軽く復習をして、簡単な演習問題もした。","何をやったかを羅列するのではなくて、あなたが重要と思った講義内容の要点を書いてほしいのです。よろしく。","",""
"N11016","10/7/14 18:48","形式文法において生成規則の記述に使われる記号のことである。終端記号はその文法で生成される文字列の一部のことである。","","今回の講義ではコンパイルなどについて学んだ。コンパイルは手順で言うとソースプログラムからコンパイラ、中間言語、インタープリタから出力までが一通りの行程である。またコンパイルする上で整数の変数と小数の整数のプログラムをコンパイルすると警告がでる。Cのソースをコンパイルするときに普通にコンパイルするのが一般的だが、難しくなってくるとソースが2、3ある場合もある。","OK

ソースコードのファイル数は、２～３どころではなくてもっと多い場合も結構あります。","",""
"N11023","","未回答","","未回答","","",""
"N11055","10/7/14 14:51","文で実際に使用される末端の記号。","","講義中に取り扱っていた""id=id+id""のトークンidは非終端記号であるという解釈でよろしいのでしょうか。","トークンと非終端記号は違います。","",""
"N11058","10/8/14 21:08","形式文法における生成規則の入力や出力に現れ、その生成規則によってそれ以上は変換されないもの","","コンパイラの内部構成は一文字一文字を調べて、意味のある最小単位の要素(トークン)にまとめる字句解析、トークンの列がその言語の文法規則にあっているかを調べる構文解析、ソースコード内に書かれた変数の型や文が言語の記述仕様に沿っているかチェックする意味解析、中間言語から最終的な出力コードを得るコード生成の順に進めていく。","OK","",""
"N11061","10/9/14 11:52","終端記号は形式文法における生成規則の記述に使われる記号で形式文法における生成規則の入力や出力に現れる。それ以上は変換されない、つまり置き換えられない終わりを示す。","","トークンはプログラミング言語のソースコードを構成する単語や記号の最小単位のことで、要素をタグつけし、する。このトークンを字句解析でまとめ、構文解析で言語の文法規則を確認、問題なければ意味解析でソースコード内の変数の型や文が最適か確認、目的プログラムを出力するコード生成を行い、コンパイルを成立させる。","OK","",""
"N11072","10/9/14 23:30","文法で生成される文字列の一部を構成する要素","","オートマトンと形式言語みたいな式が出ましたが正直意味が分かりませんでした。どうやれば少しでも理解できるようになるコツはありますか?","「オートマトンと形式言語みたいな式」の意味がわかりません。どれのことでしょうか？","",""
"N11076","10/7/14 14:38","終端記号とは形式文法での生成規則の記述において使われる記号","","終端記号などのスライドにあったNΣPSなどの文字はなんですか?Sbなど変わっていく過程がいまいち理解できませんでした","集合につけた名前です。導出の過程は、大文字のところに、生成規則を適用して書き換えるものです。","",""
"N11087","10/7/14 15:02","通常英小文字で表される、それ以上変化しない記号","","文法の名前は覚えなくてもよいといっていましたが、試験に出ないということですか?","文脈自由文法以外は、試験範囲外です。","講義の最後に5～10のアンケートの回答時間が欲しいです。","時間外学習も必要ですから、その一環としてミニッツペーパを書いてください。"
"N11105","","未回答","","未回答","","",""
"N12001","10/7/14 22:49","形式文法における生成規則の入力と出力に現れ、その生成規則によってそれ以上変換することのできない記号である。","","コンパイルするときの細かい動きとそのための動作についてと最小単位のトークンについて学び、木構造等で構文の解析をした。また、コードを生成するときでの最適化する理由などを学びました。残った時間で少しの形式言語論の生成規則を少し学びました。","何をやったかを羅列するのではなくて、あなたが重要と思った講義内容の要点を書いてほしいのです。よろしく。","",""
"N12003","10/8/14 1:56","文法を構成する文字でそれ以上変換することの出来ない文字","","ほとんどの言語は文脈自由文法が元となっていると言っていましたが元となっていない言語はどのようなものがあるのですか?","たぶん無いと思います。","",""
"N12006","10/7/14 16:09","終端記号とは,その文法で生成される文字列の一部を構成する要素","","コンパイラとインタープリタの説明図がいまいち理解できなかった","ここに書ききれませんので、505号室まで質問に来てください。歓迎します。
授業中に質問してくれると、もっと良いのですが。。。","",""
"N12007","10/10/14 13:12","それ以上変換することの出来ない記号","","コンパイラとインタープリタの復習、軸解析、構文解析、意味解析、コード生成の流れ。形式文法の種類(文脈自由文法など)定義など","何をやったかを羅列するのではなくて、あなたが重要と思った講義内容の要点を書いてほしいのです。よろしく。","",""
"N12009","","未回答","","未回答","","",""
"N12010","10/7/14 15:03","形式文法における生成規則の記述に使われる記号で、生成される文字列の一部を構成する要素である。","","最適化の良し悪しによってコンパイラの値段が変わると仰っていましたが具体的に何が違うのでしょうか?","有償のコンパイラは、無償のコンパイラに比べて、生成される機械語のサイズが小さい、実行速度が速い（メモリアクセスを減らしたり、余計な処理をループの外に出したりして）、などの特長があります。","",""
"N12011","10/9/14 22:15","文法で生成される文字列の一部を構成する要素。形式文法における生成法則の入力や出力に現れ、その生成法則によってそれ以上は変換されない。","","形式文法には、帰納的加算文法、文脈依存文法、正規文法、文脈自由文法がある。それらの文は非終端記号、終端記号、生成規則、開始記号というもので構成される。","はい。それぞれを説明できることが大事です。","",""
"N12013","","未回答","","未回答","","",""
"N12016","","未回答","","未回答","","",""
"N12018","10/7/14 14:43","終端記号とは,これ以上分解,変換できない記号のことを表す.たとえば10を終端記号に分解すると1と0に分けられる.","","終端記号の説明が何とも言えないわかりにくさがある.そして説明しにくい.ファイルの終わりを表す「EOF」も終端記号ですか?","C言語でEOFと書いているのはマクロ名です。変数名や関数名と同じように、文法的には「名前」であり、終端記号であるアルファベットと数字・記号で構成されている文字列です。","",""
"N12020","10/7/14 23:09","文法が生成される文字列の一部の要素である。","","授業中に出てきたscopeと言う言葉なんですが、変数の有効範囲はC演習1で学びましたが、scopeという言葉は初めて聞きました、scopeとはいったいなんなのでしょうか?","変数の有効範囲のことを英語ではスコープと呼びます。それだけのことです。","",""
"N12022","10/7/14 17:18","生成規則によって、これ以上変換することができない文字のことをいう。一般的に非終端文字は大文字で、終端文字は小文字で表す。","","コード生成の最適化について質問です。最適化について調べていると「アセンブラ言語より高級言語のほうがよい」というwebページを見つけました。そこには「適切な最適化コンパイラがあれば、アセンブラ言語で記述した場合の90%の効率で処理できる。最新の複雑なハードウェアを使えばアセンブラのプログラムより速くなる。」と書いてありました。近年のコンパイラは熟練のアセンブラプログラマーより処理速度の速いものを作れるほどすごいんでしょうか?","そうです。たとえば、みなさんが使っている gcc はフリーソフトウェア、つまり無償ですが、数十万円ぐらいするCコンパイラもあります。最適化の優秀さを商売にしているわけです。","",""
"N12025","10/7/14 16:04","それ以上変換されない記号","","文脈自由文法の生成規則について学びました。開始記号Sから終端記号Σまでの間を導出といいます。終端記号は全て小文字で表示された文字列です。例えば、①S→Sa,②S→aの場合。こういった①や②のことを生成規則Pで表します。また、①は非終端記号であり②は終端記号です。","OK","",""
"N12026","","未回答","","未回答","","",""
"N12027","10/9/14 11:17","終端記号は、形式文法における生成規則の記述に使われる記号であり、その文法で生成される文字列の一部を構成する要素。_x000D_
終端記号は、その生成規則によりそれ以上は変換されない。","","KCLで書かれたソースプログラムを、KCLのコンパイラで中間言語(=C言語のソースプログラム)にする とありましたが、C言語ではなくわざわざKCLでソースを書くことに、どのようなメリットがありますか?","KCLは関数型言語なので、関数型でプログラミングすることに意義があるわけです。（C言語は手続き型、あるいは代入型言語です）","",""
"N12029","10/7/14 14:50","文は終端記号で表現されており文章等を構成する記号である。","","中間コードとは具体的な中身はどのようなものでしょうか?","いろいろです。gccの場合、アセンブリ言語に落としていますが、このときはアセンブリ言語が中間言語になります。","",""
"N12031","10/9/14 14:30","形式文法の生成規則で使われる記号で、非終端記号とは異なり、生成規則によって分解されない。","","コンパイル処理について、ソースが字句解析→構文解析→意味解析→コード生成といった処理がされ、構文のチェックや変数の有効範囲(スコープ)などが定められていく。","OK","",""
"N12034","10/9/14 15:04","文の終端を表す記号","","多くのプログラミング言語で文脈自由文法が採用される理由はなんですか。","言語を定義するときに、文脈自由文法でほとんど書けたから、ということでしょう。","",""
